Ticker,Environmental,Governance,Social,ESG Score,Environmental Weight,Governance Weight ,Social weight,,,,,,,,,,,,,,,,,,,,
ALL UN Equity,2.25,7.80,1.86,11.92,0.19,0.65,0.16,,,,,,,,,,,,,,,,,,,,
ALLE UN Equity,2.04,8.45,2.72,13.21,0.15,0.64,0.21,,,,,,,,,,,,,,,,,,,,
AMAT UW Equity,6.77,7.12,5.36,19.26,0.35,0.37,0.28,,,,,,,,,,,,,,,,,,,,
AMCR UN Equity,6.17,7.31,7.86,21.35,0.29,0.34,0.37,,,,,,,,,,,,,,,,,,,,
AMD UW Equity,7.21,8.09,5.68,20.98,0.34,0.39,0.27,,,,,,,,,,,,,,,,,,,,
AME UN Equity,1.97,6.80,9.59,18.36,0.11,0.37,0.52,,,,,,,,,,,,,,,,,,,,
AMGN UW Equity,8.29,7.37,3.66,19.31,0.43,0.38,0.19,,,,,,,,,,,,,,,,,,,,
AMP UN Equity,1.25,7.03,4.18,12.45,0.10,0.56,0.34,,,,,,,,,,,,,,,,,,,,
AMT UN Equity,3.25,8.61,7.29,19.16,0.17,0.45,0.38,,,,,,,,,,,,,,,,,,,,
AMZN UW Equity,4.25,7.04,2.99,14.29,0.30,0.49,0.21,,,,,,,,,,,,,,,,,,,,
ANET UN Equity,3.00,5.58,3.10,11.67,0.26,0.48,0.27,,,,,,,,,,,,,,,,,,,,
AON UN Equity,5.47,7.23,3.28,15.98,0.34,0.45,0.21,,,,,,,,,,,,,,,,,,,,
AOS UN Equity,1.44,6.98,1.73,10.14,0.14,0.69,0.17,,,,,,,,,,,,,,,,,,,,
APA UW Equity,3.98,8.15,4.17,16.29,0.24,0.50,0.26,,,,,,,,,,,,,,,,,,,,
APD UN Equity,5.12,7.83,3.68,16.62,0.31,0.47,0.22,,,,,,,,,,,,,,,,,,,,
APH UN Equity,4.03,7.53,3.68,15.25,0.26,0.49,0.24,,,,,,,,,,,,,,,,,,,,
APO UN Equity,1.56,6.52,5.62,13.70,0.11,0.48,0.41,,,,,,,,,,,,,,,,,,,,
APP UW Equity,0.00,6.84,0.90,7.74,0.00,0.88,0.12,,,,,,,,,,,,,,,,,,,,
APTV UN Equity,3.78,7.71,5.72,17.21,0.22,0.45,0.33,,,,,,,,,,,,,,,,,,,,
ARE UN Equity,3.43,6.69,7.32,17.44,0.20,0.38,0.42,,,,,,,,,,,,,,,,,,,,
ARES UN Equity,1.95,5.90,6.16,14.01,0.14,0.42,0.44,,,,,,,,,,,,,,,,,,,,
ATO UN Equity,3.04,7.26,1.53,11.83,0.26,0.61,0.13,,,,,,,,,,,,,,,,,,,,
AVB UN Equity,5.74,7.12,7.31,20.17,0.28,0.35,0.36,,,,,,,,,,,,,,,,,,,,
AVGO UW Equity,5.44,7.79,2.52,15.75,0.35,0.49,0.16,,,,,,,,,,,,,,,,,,,,
AVY UN Equity,5.16,7.41,2.33,14.90,0.35,0.50,0.16,,,,,,,,,,,,,,,,,,,,
AWK UN Equity,2.83,8.11,4.30,15.25,0.19,0.53,0.28,,,,,,,,,,,,,,,,,,,,
AXON UW Equity,4.06,7.05,3.69,14.80,0.27,0.48,0.25,,,,,,,,,,,,,,,,,,,,
AXP UN Equity,8.18,7.78,3.41,19.36,0.42,0.40,0.18,,,,,,,,,,,,,,,,,,,,
AZO UN Equity,3.81,7.42,4.46,15.70,0.24,0.47,0.28,,,,,,,,,,,,,,,,,,,,
BA UN Equity,5.92,7.58,3.39,16.88,0.35,0.45,0.20,,,,,,,,,,,,,,,,,,,,
BAC UN Equity,5.35,7.03,4.89,17.26,0.31,0.41,0.28,,,,,,,,,,,,,,,,,,,,
BALL UN Equity,3.18,6.03,6.26,15.46,0.21,0.39,0.40,,,,,,,,,,,,,,,,,,,,
BAX UN Equity,1.50,7.78,4.54,13.82,0.11,0.56,0.33,,,,,,,,,,,,,,,,,,,,
BBY UN Equity,5.60,8.82,8.65,23.06,0.24,0.38,0.37,,,,,,,,,,,,,,,,,,,,
BDX UN Equity,3.00,7.94,3.86,14.80,0.20,0.54,0.26,,,,,,,,,,,,,,,,,,,,
BEN UN Equity,3.77,6.86,7.95,18.59,0.20,0.37,0.43,,,,,,,,,,,,,,,,,,,,
